streak,completion,longestStreak,totalLogs,missedLogs,successRate,habitAge,target
1,100,1,1,0,100,1,1
2,100,2,2,0,100,1,1
3,100,3,3,0,100,1,1
0,75,3,4,1,75,1,0
1,80,3,5,1,80,1,1
2,83,3,6,1,83,2,1
3,86,3,7,1,86,6,1
4,88,4,8,1,88,7,1
5,89,5,9,1,89,8,1
6,90,6,10,1,90,9,1
7,91,7,11,1,91,10,1
8,92,8,12,1,92,11,1
9,92,9,13,1,92,12,1
10,93,10,14,1,93,13,1
11,93,11,15,1,93,15,1
1,100,1,1,0,100,1,1
2,100,2,2,0,100,1,1
0,67,2,3,1,67,1,0
1,75,2,4,1,75,1,1
2,80,2,5,1,80,2,1
3,83,3,6,1,83,6,1
4,86,4,7,1,86,7,1
5,88,5,8,1,88,8,1
6,89,6,9,1,89,9,1
7,90,7,10,1,90,10,1
8,91,8,11,1,91,11,1
9,92,9,12,1,92,12,1
10,92,10,13,1,92,13,1
11,93,11,14,1,93,15,1
1,100,1,1,0,100,1,1
0,50,1,2,1,50,1,0
1,67,1,3,1,67,1,1
2,75,2,4,1,75,1,1
0,60,2,5,2,60,1,0
1,67,2,6,2,67,1,1
2,71,2,7,2,71,2,1
3,75,3,8,2,75,6,1
4,78,4,9,2,78,7,1
5,80,5,10,2,80,8,1
6,82,6,11,2,82,9,1
7,83,7,12,2,83,10,1
8,85,8,13,2,85,11,1
9,86,9,14,2,86,12,1
10,87,10,15,2,87,13,1
11,88,11,16,2,88,15,1
1,100,1,1,0,100,1,1
2,100,2,2,0,100,1,1
3,100,3,3,0,100,2,1
4,100,4,4,0,100,3,1
5,100,5,5,0,100,4,1
6,100,6,6,0,100,6,1
1,100,1,1,0,100,1,1
1,100,1,1,0,100,1,1
1,100,1,1,0,100,2,1
2,100,2,2,0,100,4,1
3,100,3,3,0,100,5,1
4,100,4,4,0,100,7,1
5,100,5,5,0,100,8,1
6,100,6,6,0,100,12,1
7,100,7,7,0,100,46,1
1,100,1,1,0,100,16,1
1,100,1,1,0,100,4,1
2,100,2,2,0,100,5,1
3,100,3,3,0,100,6,1
4,100,4,4,0,100,16,1
1,100,1,1,0,100,2,1
2,100,2,2,0,100,4,1
3,100,3,3,0,100,5,1
4,100,4,4,0,100,8,1
5,100,5,5,0,100,12,1
6,100,6,6,0,100,16,1
1,100,1,1,0,100,2,1
2,100,2,2,0,100,6,1
3,100,3,3,0,100,46,1
1,100,1,1,0,100,2,1
2,100,2,2,0,100,3,1
3,100,3,3,0,100,4,1
4,100,4,4,0,100,5,1
5,100,5,5,0,100,6,1
6,100,6,6,0,100,7,1
7,100,7,7,0,100,8,1
8,100,8,8,0,100,12,1
9,100,9,9,0,100,46,1
1,100,1,1,0,100,6,1
1,100,1,1,0,100,1,1
1,100,1,1,0,100,1,1
1,100,1,1,0,100,1,1
1,100,1,1,0,100,1,1
